"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20403","Testcase 6 - Contact Us Form","webkit","2026-06-25","passed","2026-06-25","","TestCase6.test.ts","",""
"","30897","Testcase 1 - Register User","chromium","2026-06-25","broken","2026-06-25","","TestCase1.test.ts","",""
"","25951","Testcase 3 - Login using invalid credentials","chromium","2026-06-25","passed","2026-06-25","","TestCase3.test.ts","",""
"","23992","Testcase 7 - Testcase page visibility","chromium","2026-06-25","passed","2026-06-25","","TestCase7.test.ts","",""
"","35458","Testcase 2 - Login using valid credentials","webkit","2026-06-25","broken","2026-06-25","","TestCase2.test.ts","",""
"","7552","Testcase 2 - Login using valid credentials","firefox","2026-06-25","passed","2026-06-25","","TestCase2.test.ts","",""
"","17373","Testcase 10 - Verify Subscription in Home Page","webkit","2026-06-25","passed","2026-06-25","","TestCase10.test.ts","",""
"","24958","Testcase 2 - Login using valid credentials","chromium","2026-06-25","passed","2026-06-25","","TestCase2.test.ts","",""
"","14685","Testcase 4 - Log out","firefox","2026-06-25","passed","2026-06-25","","TestCase4.test.ts","",""
"","30989","Testcase 11 - Verify Subscription in Cart page","chromium","2026-06-25","broken","2026-06-25","","TestCase11.test.ts","",""
"","19470","Testcase 8 - Navigating to products page, Displaying 1st product","firefox","2026-06-25","passed","2026-06-25","","TestCase8.test.ts","",""
"","15253","Testcase 5 - Email already exists","chromium","2026-06-25","passed","2026-06-25","","TestCase5.test.ts","",""
"","18523","Testcase 8 - Navigating to products page, Displaying 1st product","webkit","2026-06-25","failed","2026-06-25","","TestCase8.test.ts","",""
"","14343","Testcase 7 - Testcase page visibility","firefox","2026-06-25","passed","2026-06-25","","TestCase7.test.ts","",""
"","36138","Testcase 1 - Register User","webkit","2026-06-25","broken","2026-06-25","","TestCase1.test.ts","",""
"","21730","Testcase 10 - Verify Subscription in Home Page","chromium","2026-06-25","passed","2026-06-25","","TestCase10.test.ts","",""
"","15455","Testcase 10 - Verify Subscription in Home Page","firefox","2026-06-25","passed","2026-06-25","","TestCase10.test.ts","",""
"","13064","Testcase 3 - Login using invalid credentials","firefox","2026-06-25","passed","2026-06-25","","TestCase3.test.ts","",""
"","13054","Testcase 5 - Email already exists","firefox","2026-06-25","passed","2026-06-25","","TestCase5.test.ts","",""
"","23778","Testcase 8 - Navigating to products page, Displaying 1st product","chromium","2026-06-25","passed","2026-06-25","","TestCase8.test.ts","",""
"","33447","Testcase 6 - Contact Us Form","chromium","2026-06-25","failed","2026-06-25","","TestCase6.test.ts","",""
"","17200","Testcase 6 - Contact Us Form","firefox","2026-06-25","failed","2026-06-25","","TestCase6.test.ts","",""
"","35646","Testcase 7 - Testcase page visibility","webkit","2026-06-25","broken","2026-06-25","","TestCase7.test.ts","",""
"","21890","Testcase 5 - Email already exists","webkit","2026-06-25","passed","2026-06-25","","TestCase5.test.ts","",""
"","17901","Testcase 4 - Log out","chromium","2026-06-25","passed","2026-06-25","","TestCase4.test.ts","",""
"","26305","Testcase 11 - Verify Subscription in Cart page","webkit","2026-06-25","passed","2026-06-25","","TestCase11.test.ts","",""
"","24456","Testcase 3 - Login using invalid credentials","webkit","2026-06-25","passed","2026-06-25","","TestCase3.test.ts","",""
"","30578","Testcase 11 - Verify Subscription in Cart page","firefox","2026-06-25","broken","2026-06-25","","TestCase11.test.ts","",""
"","31128","Testcase 4 - Log out","webkit","2026-06-25","passed","2026-06-25","","TestCase4.test.ts","",""
"","31227","Testcase 1 - Register User","firefox","2026-06-25","broken","2026-06-25","","TestCase1.test.ts","",""
