"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24306","Task 3 - Simple Alert handling","","2026-06-28","passed","2026-06-28","","task.test.ts","",""
"","16424","Task 8 - Frame handling","","2026-06-28","passed","2026-06-28","","task.test.ts","",""
"","15902","Task 1 - Input verification","","2026-06-28","passed","2026-06-28","","task.test.ts","",""
"","24142","Task 6 - Select Drop Down","","2026-06-28","passed","2026-06-28","","task.test.ts","",""
"","20673","Task 4 - Confirmation Alert handling","","2026-06-28","passed","2026-06-28","","task.test.ts","",""
"","22180","Task 2 - Sum of two numbers","","2026-06-28","passed","2026-06-28","","task.test.ts","",""
"","27868","Task 7 - Select Drop Down","","2026-06-28","passed","2026-06-28","","task.test.ts","",""
"","15385","Task 5 - Prompt Alert handling","","2026-06-28","passed","2026-06-28","","task.test.ts","",""
"","13285","Task 9 - Window Handling","","2026-06-28","passed","2026-06-28","","task.test.ts","",""
"","20023","Task 10 - Iterative Windows","","2026-06-28","passed","2026-06-28","","task.test.ts","",""
